"filename", "language", "JSON", "TypeScript", "Pug", "JSON with Comments", "JavaScript", "comment", "blank", "total"
"d:\Lenovo\Documents\Project2CP\dist\controller\authController\updateEmail.js", "JavaScript", 0, 0, 0, 0, 28, 18, 0, 46
"d:\Lenovo\Documents\Project2CP\dist\controller\authController\updatePassword.js", "JavaScript", 0, 0, 0, 0, 21, 7, 0, 28
"d:\Lenovo\Documents\Project2CP\dist\controller\authController\verifyEmail.js", "JavaScript", 0, 0, 0, 0, 35, 1, 0, 36
"d:\Lenovo\Documents\Project2CP\dist\controller\authController\verifyWorkerSignup.js", "JavaScript", 0, 0, 0, 0, 14, 1, 0, 15
"d:\Lenovo\Documents\Project2CP\dist\controller\dashboardController.js", "JavaScript", 0, 0, 0, 0, 2, 4, 0, 6
"d:\Lenovo\Documents\Project2CP\dist\controller\dashboardController\applicationDashboard.js", "JavaScript", 0, 0, 0, 0, 78, 15, 0, 93
"d:\Lenovo\Documents\Project2CP\dist\controller\dashboardController\certificateDashboard.js", "JavaScript", 0, 0, 0, 0, 55, 2, 0, 57
"d:\Lenovo\Documents\Project2CP\dist\controller\dashboardController\dashboard1model.js", "JavaScript", 0, 0, 0, 0, 136, 23, 0, 159
"d:\Lenovo\Documents\Project2CP\dist\controller\dashboardController\dashboard2models.js", "JavaScript", 0, 0, 0, 0, 144, 31, 0, 175
"d:\Lenovo\Documents\Project2CP\dist\controller\dashboardController\dashboard3models.js", "JavaScript", 0, 0, 0, 0, 141, 31, 0, 172
"d:\Lenovo\Documents\Project2CP\dist\controller\dashboardController\dealDashboard.js", "JavaScript", 0, 0, 0, 0, 52, 4, 0, 56
"d:\Lenovo\Documents\Project2CP\dist\controller\dashboardController\generalDonutChart.js", "JavaScript", 0, 0, 0, 0, 63, 67, 0, 130
"d:\Lenovo\Documents\Project2CP\dist\controller\dashboardController\postDashboard.js", "JavaScript", 0, 0, 0, 0, 41, 10, 0, 51
"d:\Lenovo\Documents\Project2CP\dist\controller\dashboardController\reviewDashboard.js", "JavaScript", 0, 0, 0, 0, 41, 4, 0, 45
"d:\Lenovo\Documents\Project2CP\dist\controller\dashboardController\test.js", "JavaScript", 0, 0, 0, 0, 2, 60, 0, 62
"d:\Lenovo\Documents\Project2CP\dist\controller\dashboardController\totalApplication.js", "JavaScript", 0, 0, 0, 0, 78, 15, 0, 93
"d:\Lenovo\Documents\Project2CP\dist\controller\dashboardController\userDashboard.js", "JavaScript", 0, 0, 0, 0, 48, 4, 0, 52
