"filename", "language", "JSON with Comments", "JSON", "JavaScript", "Pug", "comment", "blank", "total"
"d:\Lenovo\Documents\Project2CP\dist\controller\portfolioPostController.ts\createPortfolioPost.js", "JavaScript", 0, 0, -27, 0, -1, 0, -28
"d:\Lenovo\Documents\Project2CP\dist\controller\portfolioPostController.ts\deletePortfolioPost.js", "JavaScript", 0, 0, -27, 0, -3, 0, -30
"d:\Lenovo\Documents\Project2CP\dist\controller\portfolioPostController.ts\getPortfolioPostById.js", "JavaScript", 0, 0, -85, 0, -1, 0, -86
"d:\Lenovo\Documents\Project2CP\dist\controller\portfolioPostController.ts\likePortfolioPost.js", "JavaScript", 0, 0, -57, 0, -2, 0, -59
"d:\Lenovo\Documents\Project2CP\dist\controller\portfolioPostController.ts\updatePortfolioPost.js", "JavaScript", 0, 0, -73, 0, -5, 0, -78
"d:\Lenovo\Documents\Project2CP\dist\controller\postController.js", "JavaScript", 0, 0, -23, 0, -1, 0, -24
"d:\Lenovo\Documents\Project2CP\dist\controller\postController\checkOwnerPost.js", "JavaScript", 0, 0, -20, 0, -1, 0, -21
"d:\Lenovo\Documents\Project2CP\dist\controller\postController\createPost.js", "JavaScript", 0, 0, -50, 0, -1, 0, -51
"d:\Lenovo\Documents\Project2CP\dist\controller\postController\deletePost.js", "JavaScript", 0, 0, -74, 0, -3, 0, -77
"d:\Lenovo\Documents\Project2CP\dist\controller\postController\getMapPosts.js", "JavaScript", 0, 0, -50, 0, -3, 0, -53
"d:\Lenovo\Documents\Project2CP\dist\controller\postController\getPost.js", "JavaScript", 0, 0, -103, 0, -1, 0, -104
"d:\Lenovo\Documents\Project2CP\dist\controller\postController\savePost.js", "JavaScript", 0, 0, -42, 0, -1, 0, -43
"d:\Lenovo\Documents\Project2CP\dist\controller\postController\updatePost.js", "JavaScript", 0, 0, -89, 0, -8, 0, -97
"d:\Lenovo\Documents\Project2CP\dist\controller\reviewController.js", "JavaScript", 0, 0, -23, 0, -1, 0, -24
"d:\Lenovo\Documents\Project2CP\dist\controller\reviewController\checkOwnerReview.js", "JavaScript", 0, 0, -23, 0, -1, 0, -24
"d:\Lenovo\Documents\Project2CP\dist\controller\reviewController\createReview.js", "JavaScript", 0, 0, -52, 0, -16, 0, -68
"d:\Lenovo\Documents\Project2CP\dist\controller\reviewController\deleteReview.js", "JavaScript", 0, 0, -22, 0, -2, 0, -24
"d:\Lenovo\Documents\Project2CP\dist\controller\reviewController\getMyReviews.js", "JavaScript", 0, 0, -23, 0, -15, 0, -38
"d:\Lenovo\Documents\Project2CP\dist\controller\reviewController\updateReview.js", "JavaScript", 0, 0, -23, 0, -6, 0, -29
"d:\Lenovo\Documents\Project2CP\dist\controller\uploadController.js", "JavaScript", 0, 0, -22, 0, -1, 0, -23
"d:\Lenovo\Documents\Project2CP\dist\controller\uploadController\deleteCloudinary.js", "JavaScript", 0, 0, -15, 0, -1, 0, -16
"d:\Lenovo\Documents\Project2CP\dist\controller\uploadController\multerStorage.js", "JavaScript", 0, 0, -56, 0, -25, 0, -81
"d:\Lenovo\Documents\Project2CP\dist\controller\uploadController\upload.js", "JavaScript", 0, 0, -25, 0, -1, 0, -26
"d:\Lenovo\Documents\Project2CP\dist\controller\uploadController\uploadCert.js", "JavaScript", 0, 0, -32, 0, -7, 0, -39
"d:\Lenovo\Documents\Project2CP\dist\controller\uploadController\uploadCertificate.js", "JavaScript", 0, 0, -67, 0, -9, 0, -76
"d:\Lenovo\Documents\Project2CP\dist\controller\uploadController\uploadId.js", "JavaScript", 0, 0, -35, 0, -7, 0, -42
"d:\Lenovo\Documents\Project2CP\dist\controller\uploadController\uploadImages.js", "JavaScript", 0, 0, -40, 0, -23, 0, -63
"d:\Lenovo\Documents\Project2CP\dist\controller\uploadController\uploadPfp.js", "JavaScript", 0, 0, -36, 0, -7, 0, -43
"d:\Lenovo\Documents\Project2CP\dist\controller\uploadController\uploadPortfolioPostImages.js", "JavaScript", 0, 0, -45, 0, -23, -1, -69
"d:\Lenovo\Documents\Project2CP\dist\controller\userController.js", "JavaScript", 0, 0, -21, 0, -1, 0, -22
"d:\Lenovo\Documents\Project2CP\dist\controller\userController\ToggleFavoriteWorker.js", "JavaScript", 0, 0, -56, 0, -1, 0, -57
"d:\Lenovo\Documents\Project2CP\dist\controller\userController\editMe.js", "JavaScript", 0, 0, -64, 0, -17, 0, -81
"d:\Lenovo\Documents\Project2CP\dist\controller\userController\editMeUser.js", "JavaScript", 0, 0, -69, 0, -16, 0, -85
"d:\Lenovo\Documents\Project2CP\dist\controller\userController\getAllUsers.js", "JavaScript", 0, 0, -36, 0, -2, 0, -38
"d:\Lenovo\Documents\Project2CP\dist\controller\userController\getMap.js", "JavaScript", 0, 0, -50, 0, -3, 0, -53
"d:\Lenovo\Documents\Project2CP\dist\controller\userController\getMe.js", "JavaScript", 0, 0, -8, 0, -1, 0, -9
"d:\Lenovo\Documents\Project2CP\dist\controller\validationRequestController.js", "JavaScript", 0, 0, -123, 0, -15, 0, -138
"d:\Lenovo\Documents\Project2CP\dist\controller\validationRequestController\createValReq.js", "JavaScript", 0, 0, -2, 0, -1, 0, -3
"d:\Lenovo\Documents\Project2CP\dist\controller\workerController.js", "JavaScript", 0, 0, -33, 0, -1, 0, -34
"d:\Lenovo\Documents\Project2CP\dist\controller\workerController\bestWorkers.js", "JavaScript", 0, 0, -59, 0, -2, 0, -61
"d:\Lenovo\Documents\Project2CP\dist\controller\workerController\certificatesController.js", "JavaScript", 0, 0, -168, 0, -19, 0, -187
"d:\Lenovo\Documents\Project2CP\dist\controller\workerController\editMeWorker.js", "JavaScript", 0, 0, -20, 0, -12, 0, -32
"d:\Lenovo\Documents\Project2CP\dist\controller\workerController\getMyRequests.js", "JavaScript", 0, 0, -54, 0, -1, 0, -55
"d:\Lenovo\Documents\Project2CP\dist\controller\workerController\getSavedPosts.js", "JavaScript", 0, 0, -41, 0, -1, 0, -42
"d:\Lenovo\Documents\Project2CP\dist\controller\workerController\portfolioPostController.ts\checkOwnerPortfolioPost.js", "JavaScript", 0, 0, -14, 0, -1, 0, -15
"d:\Lenovo\Documents\Project2CP\dist\controller\workerController\portfolioPostController.ts\createPortfolioPost.js", "JavaScript", 0, 0, -27, 0, -1, 0, -28
"d:\Lenovo\Documents\Project2CP\dist\controller\workerController\portfolioPostController.ts\deletePortfolioPost.js", "JavaScript", 0, 0, -25, 0, -3, 0, -28
"d:\Lenovo\Documents\Project2CP\dist\controller\workerController\portfolioPostController.ts\getPortfolioPostById.js", "JavaScript", 0, 0, -78, 0, -1, 0, -79
"d:\Lenovo\Documents\Project2CP\dist\controller\workerController\portfolioPostController.ts\likePortfolioPost.js", "JavaScript", 0, 0, -42, 0, -2, 0, -44
"d:\Lenovo\Documents\Project2CP\dist\controller\workerController\portfolioPostController.ts\updatePortfolioPost.js", "JavaScript", 0, 0, -73, 0, -5, 0, -78
"d:\Lenovo\Documents\Project2CP\dist\controller\workerController\portfolioPostsController.js", "JavaScript", 0, 0, -22, 0, -1, 0, -23
"d:\Lenovo\Documents\Project2CP\dist\controller\workerController\workerCRUD.js", "JavaScript", 0, 0, -106, 0, -10, 0, -116
"d:\Lenovo\Documents\Project2CP\dist\firebase.js", "JavaScript", 0, 0, -14, 0, -8, 0, -22
"d:\Lenovo\Documents\Project2CP\dist\models\Application.js", "JavaScript", 0, 0, -65, 0, -12, 0, -77
"d:\Lenovo\Documents\Project2CP\dist\models\Certificate.js", "JavaScript", 0, 0, -48, 0, -2, 0, -50
"d:\Lenovo\Documents\Project2CP\dist\models\Deal.js", "JavaScript", 0, 0, -81, 0, -3, 0, -84
