Date : 2024-05-03 20:40:25
Directory : d:\Lenovo\Documents\Project2CP
Total : 258 files,  11705 codes, 2430 comments, 933 blanks, all 15068 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\Lenovo\Documents\Project2CP\dist\controller\workerController\portfolioPostController.ts\updatePortfolioPost.js     | JavaScript         |         73 |          5 |          0 |         78 |
| d:\Lenovo\Documents\Project2CP\dist\controller\workerController\portfolioPostsController.js                           | JavaScript         |         22 |          1 |          0 |         23 |
| d:\Lenovo\Documents\Project2CP\dist\controller\workerController\workerCRUD.js                                         | JavaScript         |         68 |          9 |          0 |         77 |
| d:\Lenovo\Documents\Project2CP\dist\models\Application.js                                                             | JavaScript         |         61 |         12 |          0 |         73 |
| d:\Lenovo\Documents\Project2CP\dist\models\Certificate.js                                                             | JavaScript         |         22 |          1 |          0 |         23 |
| d:\Lenovo\Documents\Project2CP\dist\models\Deal.js                                                                    | JavaScript         |         71 |          2 |          0 |         73 |
| d:\Lenovo\Documents\Project2CP\dist\models\Like.js                                                                    | JavaScript         |         18 |          1 |          0 |         19 |
| d:\Lenovo\Documents\Project2CP\dist\models\PortfolioPost.js                                                           | JavaScript         |         41 |          2 |          0 |         43 |
| d:\Lenovo\Documents\Project2CP\dist\models\Post.js                                                                    | JavaScript         |         52 |          2 |          0 |         54 |
| d:\Lenovo\Documents\Project2CP\dist\models\Review.js                                                                  | JavaScript         |         61 |         12 |          0 |         73 |
| d:\Lenovo\Documents\Project2CP\dist\models\User.js                                                                    | JavaScript         |         67 |        121 |          0 |        188 |
| d:\Lenovo\Documents\Project2CP\dist\models\UserDoc.js                                                                 | JavaScript         |          8 |          1 |          0 |          9 |
| d:\Lenovo\Documents\Project2CP\dist\models\Worker.js                                                                  | JavaScript         |         99 |         29 |          0 |        128 |
| d:\Lenovo\Documents\Project2CP\dist\models\WorkerDoc.js                                                               | JavaScript         |         15 |          1 |          0 |         16 |
| d:\Lenovo\Documents\Project2CP\dist\models\data.js                                                                    | JavaScript         |        150 |         78 |          0 |        228 |
| d:\Lenovo\Documents\Project2CP\dist\models\validationRequest.js                                                       | JavaScript         |         81 |          9 |          0 |         90 |
| d:\Lenovo\Documents\Project2CP\dist\routes\applicationRouter.js                                                       | JavaScript         |         22 |          2 |          0 |         24 |
| d:\Lenovo\Documents\Project2CP\dist\routes\authRouter.js                                                              | JavaScript         |         32 |          5 |          0 |         37 |
| d:\Lenovo\Documents\Project2CP\dist\routes\certificateRouter.js                                                       | JavaScript         |         19 |          2 |          0 |         21 |
| d:\Lenovo\Documents\Project2CP\dist\routes\dashboardRouter.js                                                         | JavaScript         |         46 |          9 |          0 |         55 |
| d:\Lenovo\Documents\Project2CP\dist\routes\dealRouter.js                                                              | JavaScript         |         21 |          1 |          0 |         22 |
| d:\Lenovo\Documents\Project2CP\dist\routes\modRouter.js                                                               | JavaScript         |         39 |          6 |          0 |         45 |
| d:\Lenovo\Documents\Project2CP\dist\routes\portfolioRouter.js                                                         | JavaScript         |         17 |          3 |          0 |         20 |
| d:\Lenovo\Documents\Project2CP\dist\routes\postRouter.js                                                              | JavaScript         |         22 |          1 |          0 |         23 |
| d:\Lenovo\Documents\Project2CP\dist\routes\reviewRouter.js                                                            | JavaScript         |         19 |          1 |          0 |         20 |
| d:\Lenovo\Documents\Project2CP\dist\routes\userRouter.js                                                              | JavaScript         |         30 |         18 |          0 |         48 |
| d:\Lenovo\Documents\Project2CP\dist\routes\validationRequestRouter.js                                                 | JavaScript         |         15 |          1 |          0 |         16 |
| d:\Lenovo\Documents\Project2CP\dist\routes\workerRouter.js                                                            | JavaScript         |         38 |          7 |          0 |         45 |
| d:\Lenovo\Documents\Project2CP\dist\server.js                                                                         | JavaScript         |         50 |          8 |          0 |         58 |
| d:\Lenovo\Documents\Project2CP\dist\serverOnline.js                                                                   | JavaScript         |         49 |          8 |          0 |         57 |
| d:\Lenovo\Documents\Project2CP\dist\utils\APIFeatures.js                                                              | JavaScript         |         22 |         60 |          0 |         82 |
| d:\Lenovo\Documents\Project2CP\dist\utils\appError.js                                                                 | JavaScript         |         15 |          1 |          0 |         16 |
| d:\Lenovo\Documents\Project2CP\dist\utils\catchAsync.js                                                               | JavaScript         |          7 |          3 |          0 |         10 |
| d:\Lenovo\Documents\Project2CP\dist\utils\email.js                                                                    | JavaScript         |         73 |         79 |          0 |        152 |
| d:\Lenovo\Documents\Project2CP\dist\views\_footer.pug                                                                 | Pug                |         10 |          0 |          1 |         11 |
| d:\Lenovo\Documents\Project2CP\dist\views\_header.pug                                                                 | Pug                |         14 |          0 |          1 |         15 |
| d:\Lenovo\Documents\Project2CP\dist\views\_reviewCard.pug                                                             | Pug                |         10 |          0 |          1 |         11 |
| d:\Lenovo\Documents\Project2CP\dist\views\account.pug                                                                 | Pug                |         55 |          0 |          5 |         60 |
| d:\Lenovo\Documents\Project2CP\dist\views\base.pug                                                                    | Pug                |         20 |          8 |          4 |         32 |
| d:\Lenovo\Documents\Project2CP\dist\views\emails\_style.pug                                                           | Pug                |        258 |          0 |          0 |        258 |
| d:\Lenovo\Documents\Project2CP\dist\views\emails\baseEmail.pug                                                        | Pug                |         36 |          3 |          6 |         45 |
| d:\Lenovo\Documents\Project2CP\dist\views\emails\passwordReset.pug                                                    | Pug                |          6 |          0 |          2 |          8 |
| d:\Lenovo\Documents\Project2CP\dist\views\emails\verifyEmail.pug                                                      | Pug                |         17 |          0 |          1 |         18 |
| d:\Lenovo\Documents\Project2CP\dist\views\emails\welcome.pug                                                          | Pug                |         16 |          0 |          1 |         17 |
| d:\Lenovo\Documents\Project2CP\dist\views\error.pug                                                                   | Pug                |          8 |          0 |          1 |          9 |
| d:\Lenovo\Documents\Project2CP\dist\views\login.pug                                                                   | Pug                |         14 |          0 |          1 |         15 |
| d:\Lenovo\Documents\Project2CP\dist\views\overview.pug                                                                | Pug                |         41 |          0 |          5 |         46 |
| d:\Lenovo\Documents\Project2CP\dist\views\tour.pug                                                                    | Pug                |         76 |          1 |         16 |         93 |
| d:\Lenovo\Documents\Project2CP\nodemon.json                                                                           | JSON               |          5 |          0 |          0 |          5 |
| d:\Lenovo\Documents\Project2CP\package.json                                                                           | JSON               |         66 |          0 |          1 |         67 |
| d:\Lenovo\Documents\Project2CP\src\app.ts                                                                             | TypeScript         |         55 |         12 |          9 |         76 |
| d:\Lenovo\Documents\Project2CP\src\controller\applicationController.ts                                                | TypeScript         |         30 |          0 |          3 |         33 |
| d:\Lenovo\Documents\Project2CP\src\controller\applicationController\applyPost.ts                                      | TypeScript         |         51 |          0 |          8 |         59 |
| d:\Lenovo\Documents\Project2CP\src\controller\applicationController\checkOwnerApplication.ts                          | TypeScript         |         57 |          0 |          5 |         62 |
| d:\Lenovo\Documents\Project2CP\src\controller\applicationController\getMyApplications.ts                              | TypeScript         |         27 |         13 |         10 |         50 |
| d:\Lenovo\Documents\Project2CP\src\controller\applicationController\getMyPostsApplications.ts                         | TypeScript         |         10 |         10 |          5 |         25 |
| d:\Lenovo\Documents\Project2CP\src\controller\applicationController\updateApplication.ts                              | TypeScript         |         29 |          0 |          4 |         33 |
| d:\Lenovo\Documents\Project2CP\src\controller\authController.ts                                                       | TypeScript         |         43 |          0 |          4 |         47 |
| d:\Lenovo\Documents\Project2CP\src\controller\authController\createAndSendToken.ts                                    | TypeScript         |         23 |         14 |          2 |         39 |
| d:\Lenovo\Documents\Project2CP\src\controller\authController\forgotPassword.ts                                        | TypeScript         |         36 |         18 |          8 |         62 |
| d:\Lenovo\Documents\Project2CP\src\controller\authController\isLoggedIn.ts                                            | TypeScript         |         47 |          4 |          7 |         58 |
| d:\Lenovo\Documents\Project2CP\src\controller\authController\login.ts                                                 | TypeScript         |         34 |          1 |          5 |         40 |
| d:\Lenovo\Documents\Project2CP\src\controller\authController\logout.ts                                                | TypeScript         |          8 |          3 |          1 |         12 |
| d:\Lenovo\Documents\Project2CP\src\controller\authController\protect.ts                                               | TypeScript         |         41 |         51 |          6 |         98 |
| d:\Lenovo\Documents\Project2CP\src\controller\authController\resendEmailVerification.ts                               | TypeScript         |         44 |          0 |         10 |         54 |
| d:\Lenovo\Documents\Project2CP\src\controller\authController\resetPassword.ts                                         | TypeScript         |         32 |          6 |          7 |         45 |
| d:\Lenovo\Documents\Project2CP\src\controller\authController\restrictTo.ts                                            | TypeScript         |         16 |          3 |          4 |         23 |
| d:\Lenovo\Documents\Project2CP\src\controller\authController\signup.ts                                                | TypeScript         |         57 |          4 |         10 |         71 |
| d:\Lenovo\Documents\Project2CP\src\controller\authController\signupAsWorker.ts                                        | TypeScript         |        126 |         21 |          7 |        154 |
| d:\Lenovo\Documents\Project2CP\src\controller\authController\switchRole.ts                                            | TypeScript         |         39 |          9 |          4 |         52 |
| d:\Lenovo\Documents\Project2CP\src\controller\authController\updateEmail.ts                                           | TypeScript         |         26 |         26 |          5 |         57 |
| d:\Lenovo\Documents\Project2CP\src\controller\authController\updatePassword.ts                                        | TypeScript         |         26 |          6 |          5 |         37 |
| d:\Lenovo\Documents\Project2CP\src\controller\authController\verifyEmail.ts                                           | TypeScript         |         33 |          0 |          7 |         40 |
| d:\Lenovo\Documents\Project2CP\src\controller\authController\verifyWorkerSignup.ts                                    | TypeScript         |         17 |          0 |          3 |         20 |
| d:\Lenovo\Documents\Project2CP\src\controller\dashboardController\applicationDashboard.ts                             | TypeScript         |         87 |         14 |         19 |        120 |
| d:\Lenovo\Documents\Project2CP\src\controller\dashboardController\certificateDashboard.ts                             | TypeScript         |         53 |          1 |          6 |         60 |
